cluster_id,n_voxels,peak_value,peak_i,peak_j,peak_k,peak_x,peak_y,peak_z,com_x,com_y,com_z,HO_cortical_label,HO_subcortical_label,best_label
471,3,1.0,23,70,49,-46.01617842912674,26.40369964390993,23.176361083984375,-45.379584501187004,27.099138284722954,23.176361083984375,Middle Frontal Gyrus,Left Cerebral Cortex,Middle Frontal Gyrus
472,1,1.0,23,76,51,-46.545766830444336,38.39200807362795,27.176361083984375,-46.545766830444336,38.39200807362795,27.176361083984375,Frontal Pole,Left Cerebral Cortex,Frontal Pole
473,1,1.0,23,77,26,-46.63403156399727,40.39005947858095,-22.823638916015625,-46.63403156399727,40.39005947858095,-22.823638916015625,,,
474,1,1.0,23,77,61,-46.63403156399727,40.39005947858095,47.176361083984375,-46.63403156399727,40.39005947858095,47.176361083984375,,,
475,1,1.0,23,79,52,-46.810561031103134,44.38616228848696,29.176361083984375,-46.810561031103134,44.38616228848696,29.176361083984375,,,
476,2,1.0,23,81,16,-46.987090498209,48.38226509839296,-42.823638916015625,-46.987090498209,48.38226509839296,-41.823638916015625,,,
477,3,1.0,23,82,55,-47.07535523176193,50.380316503345966,35.176361083984375,-45.047887136538826,49.802563885847746,35.176361083984375,,,
478,1,1.0,23,90,31,-47.781473100185394,66.36472774296999,-12.823638916015625,-47.781473100185394,66.36472774296999,-12.823638916015625,,,
479,1,1.0,23,91,45,-47.86973783373833,68.36277914792299,15.176361083984375,-47.86973783373833,68.36277914792299,15.176361083984375,,,
480,1,1.0,23,94,39,-48.134532034397125,74.356933362782,3.176361083984375,-48.134532034397125,74.356933362782,3.176361083984375,,,
481,2,1.0,23,96,43,-48.31106150150299,78.35303617268801,11.176361083984375,-47.35617060959339,79.39619413390756,10.176361083984375,,,
482,6,1.0,24,22,58,-39.78142470121384,-69.41450327634811,41.176361083984375,-38.434682900706925,-69.68866883218288,39.843027750651046,"Lateral Occipital Cortex, superior division",Left Cerebral Cortex,"Lateral Occipital Cortex, superior division"
483,1,1.0,24,26,21,-40.13448363542557,-61.4222976565361,-32.823638916015625,-40.13448363542557,-61.4222976565361,-32.823638916015625,,,
484,2,1.0,24,26,40,-40.13448363542557,-61.4222976565361,5.176361083984375,-39.1354603767395,-61.378165397793055,4.176361083984375,,Left Cerebral White Matter,Left Cerebral White Matter
485,2,1.0,24,33,18,-40.7523367702961,-47.43593782186508,-38.823638916015625,-40.7523367702961,-47.43593782186508,-37.823638916015625,,,
486,5,1.0,24,34,65,-40.84060150384903,-45.43788641691208,55.176361083984375,-39.25981723666191,-44.967664521932605,55.976361083984386,Superior Parietal Lobule,Left Cerebral Cortex,Superior Parietal Lobule
487,1,1.0,24,35,5,-40.92886623740196,-43.439835011959076,-64.82363891601562,-40.92886623740196,-43.439835011959076,-64.82363891601562,,,
488,1,1.0,24,36,28,-41.017130970954895,-41.44178360700607,-18.823638916015625,-41.017130970954895,-41.44178360700607,-18.823638916015625,"Temporal Fusiform Cortex, posterior division",Left Cerebral Cortex,"Temporal Fusiform Cortex, posterior division"
489,1,1.0,24,36,30,-41.017130970954895,-41.44178360700607,-14.823638916015625,-41.017130970954895,-41.44178360700607,-14.823638916015625,,Left Cerebral White Matter,Left Cerebral White Matter
490,1,1.0,24,38,3,-41.19366043806076,-37.44568079710007,-68.82363891601562,-41.19366043806076,-37.44568079710007,-68.82363891601562,,,
491,1,1.0,24,38,30,-41.19366043806076,-37.44568079710007,-14.823638916015625,-41.19366043806076,-37.44568079710007,-14.823638916015625,,Left Cerebral White Matter,Left Cerebral White Matter
