cluster_id,n_voxels,peak_value,peak_i,peak_j,peak_k,peak_x,peak_y,peak_z,com_x,com_y,com_z,HO_cortical_label,HO_subcortical_label,best_label
1,15,1.0,4,52,32,-82.39029705524445,-11.238251477479935,-10.823638916015625,-79.14259994427363,-9.226295970380306,-12.823638916015625,,,
2,13,1.0,4,58,26,-82.91988545656204,0.7500569522380829,-22.823638916015625,-79.99966362347969,0.8790589393331487,-18.362100454477165,,,
3,1,1.0,5,48,33,-80.03919160366058,-19.14219257980585,-8.823638916015625,-80.03919160366058,-19.14219257980585,-8.823638916015625,,,
4,1,1.0,5,58,33,-80.92183893918991,0.8383214697241783,-8.823638916015625,-80.92183893918991,0.8383214697241783,-8.823638916015625,,,
5,5,1.0,6,53,34,-78.48246875405312,-9.063671037554741,-6.823638916015625,-77.33659968376159,-7.811881484091288,-5.223638916015631,,,
6,3,1.0,7,34,30,-74.80739229917526,-46.9383832141757,-14.823638916015625,-72.77992420395215,-47.51613583167395,-14.823638916015625,,,
7,4,1.0,7,35,37,-74.8956570327282,-44.9403318092227,-0.823638916015625,-74.46234395354986,-43.41972712613642,-0.823638916015625,,,
8,5,1.0,7,42,47,-75.51351016759872,-30.953971974551678,19.176361083984375,-71.51741713285446,-30.777442939579487,19.176361083984375,,,
9,4,1.0,7,48,21,-76.04309856891632,-18.96566354483366,-32.823638916015625,-75.04407531023026,-18.921531286090612,-31.823638916015625,,,
10,1,1.0,7,48,44,-76.04309856891632,-18.96566354483366,13.176361083984375,-76.04309856891632,-18.96566354483366,13.176361083984375,,,
11,1,1.0,7,63,29,-77.36706957221031,11.005107529461384,-16.823638916015625,-77.36706957221031,11.005107529461384,-16.823638916015625,,,
12,6,1.0,7,63,39,-77.36706957221031,11.005107529461384,3.176361083984375,-75.31017989913623,9.76133777697882,5.176361083984375,,,
13,1,1.0,8,39,37,-73.2506694495678,-36.85986167192459,-0.823638916015625,-73.2506694495678,-36.85986167192459,-0.823638916015625,,,
14,3,1.0,8,56,41,-74.75116991996765,-2.8929877877235413,7.176361083984375,-72.81196655829747,-1.4726890002687867,7.176361083984375,,,
15,21,1.0,8,64,57,-75.45728778839111,13.091423451900482,39.176361083984375,-70.48988004809334,8.544311815074522,40.604932512555806,,,
16,2,1.0,8,67,24,-75.72208198904991,19.08557766675949,-26.823638916015625,-74.72305873036385,19.12970992550254,-26.823638916015625,,,
17,2,1.0,8,71,46,-76.07514092326164,27.077783286571503,17.176361083984375,-76.11927329003811,28.076808989048004,17.176361083984375,,,
18,1,1.0,8,73,32,-76.25167039036751,31.07388609647751,-10.823638916015625,-76.25167039036751,31.07388609647751,-10.823638916015625,,,
19,2,1.0,8,76,27,-76.5164645910263,37.06804031133652,-20.823638916015625,-76.56059695780277,38.06706601381302,-20.823638916015625,,,
20,1,1.0,8,76,33,-76.5164645910263,37.06804031133652,-8.823638916015625,-76.5164645910263,37.06804031133652,-8.823638916015625,,,
21,3,1.0,9,28,40,-70.2817108631134,-58.75016260892153,5.176361083984375,-70.36997559666634,-56.752111203968525,5.176361083984375,,,
22,1,1.0,9,29,32,-70.36997559666634,-56.752111203968525,-10.823638916015625,-70.36997559666634,-56.752111203968525,-10.823638916015625,,,
23,1,1.0,9,32,52,-70.63476979732513,-50.757956989109516,29.176361083984375,-70.63476979732513,-50.757956989109516,29.176361083984375,,,
24,1,1.0,9,36,56,-70.98782873153687,-42.765751369297504,37.176361083984375,-70.98782873153687,-42.765751369297504,37.176361083984375,,,
25,1,1.0,9,45,42,-71.78221133351326,-24.783288724720478,9.176361083984375,-71.78221133351326,-24.783288724720478,9.176361083984375,,,
26,1,1.0,9,47,42,-71.95874080061913,-20.787185914814472,9.176361083984375,-71.95874080061913,-20.787185914814472,9.176361083984375,,,
27,6,1.0,9,47,54,-71.95874080061913,-20.787185914814472,33.176361083984375,-69.36823272208373,-19.004457054038838,31.843027750651046,,,
28,4,1.0,9,49,19,-72.13527026772499,-16.791083104908466,-36.823638916015625,-69.65977830439806,-16.181239606812596,-37.323638916015625,,,
29,1,1.0,9,49,42,-72.13527026772499,-16.791083104908466,9.176361083984375,-72.13527026772499,-16.791083104908466,9.176361083984375,,,
30,16,1.0,9,52,53,-72.40006446838379,-10.796928890049458,31.176361083984375,-67.67677017301321,-10.08778780978173,31.926361083984375,,,
31,13,1.0,9,64,40,-73.45924127101898,13.179687969386578,5.176361083984375,-70.88282398077158,17.60539571195841,5.484053391676682,,,
32,2,1.0,9,65,23,-73.54750600457191,15.17773937433958,-28.823638916015625,-72.54848274588585,15.221871633082628,-28.823638916015625,,,
33,1,1.0,9,67,53,-73.72403547167778,19.173842184245586,31.176361083984375,-73.72403547167778,19.173842184245586,31.176361083984375,,,
34,1,1.0,9,70,25,-73.98882967233658,25.167996399104595,-24.823638916015625,-73.98882967233658,25.167996399104595,-24.823638916015625,,,
35,1,1.0,9,71,44,-74.07709440588951,27.166047804057598,13.176361083984375,-74.07709440588951,27.166047804057598,13.176361083984375,,,
36,5,1.0,9,71,50,-74.07709440588951,27.166047804057598,25.176361083984375,-71.26217633485794,26.890007847547537,25.176361083984375,,,
37,9,1.0,9,75,48,-74.43015334010124,35.15825342386961,21.176361083984375,-71.91319920619328,38.606025122106104,22.28747219509549,,,
38,4,1.0,10,26,51,-68.1071348786354,-62.65800090134144,27.176361083984375,-67.10811161994934,-62.61386864259839,28.176361083984375,,,
39,2,1.0,10,28,50,-68.28366434574127,-58.66189809143543,25.176361083984375,-67.2846410870552,-58.617765832692385,25.176361083984375,,,
40,1,1.0,10,34,44,-68.81325274705887,-46.673589661717415,13.176361083984375,-68.81325274705887,-46.673589661717415,13.176361083984375,,Left Cerebral Cortex,Left Cerebral Cortex
41,2,1.0,10,35,23,-68.9015174806118,-44.67553825676441,-28.823638916015625,-67.90249422192574,-44.631405998021364,-28.823638916015625,,,
42,4,1.0,10,35,31,-68.9015174806118,-44.67553825676441,-12.823638916015625,-68.94564984738827,-43.67651255428791,-13.823638916015625,,Left Cerebral Cortex,Left Cerebral Cortex
43,1,1.0,10,38,54,-69.1663116812706,-38.6813840419054,33.176361083984375,-69.1663116812706,-38.6813840419054,33.176361083984375,,,
44,3,1.0,10,43,26,-69.60763534903526,-28.69112701714039,-22.823638916015625,-68.27560433745384,-28.632284005482987,-22.823638916015625,,,
45,1,1.0,10,49,33,-70.13722375035286,-16.70281858742237,-8.823638916015625,-70.13722375035286,-16.70281858742237,-8.823638916015625,,,
46,3,1.0,10,52,38,-70.40201795101166,-10.708664372563362,1.176361083984375,-69.73600244522095,-10.679242866734668,1.176361083984375,,,
47,5,1.0,10,54,29,-70.57854741811752,-6.712561562657356,-16.823638916015625,-70.68446509838104,-4.314899876713753,-16.023638916015628,,,
48,3,1.0,10,57,35,-70.84334161877632,-0.7184073477983475,-4.823638916015625,-70.8727631966273,-0.05239021281400369,-2.823638916015625,,,
49,1,1.0,10,60,36,-71.10813581943512,5.275746867060661,-2.823638916015625,-71.10813581943512,5.275746867060661,-2.823638916015625,,,
50,8,1.0,10,62,48,-71.28466528654099,9.271849676966667,21.176361083984375,-68.603549875319,10.8917519422248,24.176361083984375,,,
51,2,1.0,10,64,20,-71.46119475364685,13.267952486872673,-34.823638916015625,-70.46217149496078,13.31208474561572,-34.823638916015625,,,
52,1,1.0,10,70,21,-71.99078315496445,25.25626091659069,-32.823638916015625,-71.99078315496445,25.25626091659069,-32.823638916015625,,,
53,11,1.0,10,73,54,-72.25557735562325,31.2504151314497,33.176361083984375,-71.08038200844418,33.48627590252596,34.812724720348015,,,
54,3,1.0,10,75,35,-72.43210682272911,35.246517941355705,-4.823638916015625,-70.46348188320796,36.000799593826116,-4.156972249348954,,,
55,4,1.0,10,78,27,-72.69690102338791,41.240672156214714,-20.823638916015625,-69.69983124732971,41.37306893244386,-20.823638916015625,,,
56,1,1.0,10,78,38,-72.69690102338791,41.240672156214714,1.176361083984375,-72.69690102338791,41.240672156214714,1.176361083984375,,,
57,1,1.0,11,28,48,-66.28561782836914,-58.57363357394934,21.176361083984375,-66.28561782836914,-58.57363357394934,21.176361083984375,,,
58,1,1.0,11,30,32,-66.462147295475,-54.57753076404333,-10.823638916015625,-66.462147295475,-54.57753076404333,-10.823638916015625,,Left Cerebral Cortex,Left Cerebral Cortex
59,3,1.0,11,33,24,-66.7269414961338,-48.58337654918432,-26.823638916015625,-66.0609259903431,-48.55395504335563,-24.823638916015625,,,
60,1,1.0,11,45,42,-67.786118298769,-24.606759689748287,9.176361083984375,-67.786118298769,-24.606759689748287,9.176361083984375,"Superior Temporal Gyrus, posterior division",Left Cerebral Cortex,"Superior Temporal Gyrus, posterior division"
61,1,1.0,11,54,61,-68.58050090074539,-6.624297045171261,47.176361083984375,-68.58050090074539,-6.624297045171261,47.176361083984375,,,
62,5,1.0,11,62,54,-69.28661876916885,9.360114194452763,33.176361083984375,-66.54231248497963,10.682515361905104,32.77636108398437,,,
63,8,1.0,11,63,36,-69.37488350272179,11.358165599405766,-2.823638916015625,-68.46412497758865,13.400349263101816,-2.073638916015625,,,
64,1,1.0,11,66,56,-69.63967770338058,17.352319814264774,37.176361083984375,-69.63967770338058,17.352319814264774,37.176361083984375,,,
65,1,1.0,11,67,45,-69.72794243693352,19.350371219217777,15.176361083984375,-69.72794243693352,19.350371219217777,15.176361083984375,,,
66,1,1.0,11,68,27,-69.81620717048645,21.34842262417078,-20.823638916015625,-69.81620717048645,21.34842262417078,-20.823638916015625,,,
67,1,1.0,11,69,31,-69.90447190403938,23.346474029123783,-12.823638916015625,-69.90447190403938,23.346474029123783,-12.823638916015625,,,
